ID,Item,Definition,Instrument
13,Is invalidity the legal consequence of inadmissibility?,"At the end of the formal admissibility procedure, does the state organ invalidate (i.e. annul) the referendum or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Legislature-initiated
14,Is there a substantive admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the substantive limits (not on a prohibited topic, compliance with the constitution etc.).",Legislature-initiated
15,Who decides about the substantive admissibility?,Which state institution checks whether the initiative complies with the substantive limits?,Legislature-initiated
16,Is there a legal remedy against the decision on substantive admissibility?,"Appeal to a higher administrative, judicial or state organ",Legislature-initiated
17,Who decides about the claim for remedy in the substantive admissibility procedure?,Which state institution carries out the appeal procedure,Legislature-initiated
18,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the substantive admissibility decision (e.g. only initiators, any citizens, certain state actors etc.)",Legislature-initiated
19,Is substantive admissibility decided in a special procedure?,"Whether the procedure for checking the substantive admissibility has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the respective state organ. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Legislature-initiated
20,Do participants have a right to be heard in the substantive admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Legislature-initiated
21,Is there an evidentary procedure in the substantive admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Legislature-initiated
22,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the substantive limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Legislature-initiated
23,Is invalidity the legal consequence of inadmissibility?,"At the end of the substantive admissibility procedure, does the state organ invalidate (i.e. annul) the referendum or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Legislature-initiated
24,Does the proposal have to be submitted as a (draft) legal text?,Do the initiators have to create a draft of the proposed provision or legal act or is it enough to propose a question?,Legislature-initiated
25,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the referendum question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)",Legislature-initiated
26,Is there a clarity of the question requirement?,"Whether there is a legal provision that the referendum question or issue has to be formulated precisely, in a clear, non-misleading manner",Legislature-initiated
27,Is there a unity of form requirement?,Whether there is a legal provision that the referendum question or issue shall not combine a general and a specifically-worded proposal,Legislature-initiated
28,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of referendum question or issue shall have an internal connection,Legislature-initiated
29,"Are there any other formal limits? (if Yes, describe in Comments box)",Whether there are any other requirements about the formulation of the referendum question or issue,Legislature-initiated
30,(if rejective) Are certain types of legal acts excluded from being the subject of it?,"Whether a referendum could be held on any legal act (including the constitution, legislative acts, administrative decrees, other measure having the force of law) or is it limited to certain types",Legislature-initiated
31,(if rejective) Are constitutional amendments excluded from being the subject of it?,Whether a referendum could only be held about legal acts that are below the constitution in the hierarchy of norms,Legislature-initiated
32,(if rejective) Are the legal provisions challenged before or after their entry into force?,Is the subject of the popular vote the proposal for a provision or a legal act (before entry into force) or the already adopted and promulgated act (after entry into force)?,Legislature-initiated
33,Can any kind of issue be the subject of a referendum (not counting explicitly prohibited issues)?,"What is the positive scope of referendums/initiatives: which topics can be the subject of a referendum/initiative? This is a question about how the general scope of referendums is defined, without taking into account the explicit topical restrictions.",Legislature-initiated
34,Can only issues of special importance be the subjects of referendums?,Is the positive scope of referendums limited to questions that are deemed important?,Legislature-initiated
35,Can only certain enumerated issues be the subjects of referendums?,"In this case not any question can be the subject of a referendum, only those topics that are listed in the relevant legal act",Legislature-initiated
36,Are there any prohibited issues?,"Are there substantive limits on initiatives and referendums, i.e. certain topics that cannot be the subject of a referendum?",Legislature-initiated
37,Are referendums on constitutional amendments prohibited?,"This question refers to a general ban on proposing constitutional changes. If only certain constitutional provisions are excluded from referendums, those provisions/topics should be indicated specifically in the next questions.",Legislature-initiated
38,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations",Legislature-initiated
39,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights,Legislature-initiated
40,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc.",Legislature-initiated
41,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc.",Legislature-initiated
42,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language,Legislature-initiated
43,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory,Legislature-initiated
44,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Legislature-initiated
45,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on referendums about the organisation and the rules of the internal security of the state,Legislature-initiated
46,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Legislature-initiated
47,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Legislature-initiated
48,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship,Legislature-initiated
49,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Legislature-initiated
50,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Legislature-initiated
51,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel,Legislature-initiated
52,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Legislature-initiated
53,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Legislature-initiated
54,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Legislature-initiated
55,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Legislature-initiated
56,"Are there any other prohibited issues? (if Yes, describe in Comments box)","If there are any other prohibited topics, please indicate those in the comments section",Legislature-initiated
57,Is it mandatory to call the referendum?,"In case all the requirements are fulfilled (e.g. it complies with the limits) is it mandatory to authorise the referendum or does the institution that calls the referendum has some leeway, some margin of discretion",Legislature-initiated
58,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result",Legislature-initiated
59,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid,Legislature-initiated
60,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass,Legislature-initiated
61,Territorial approval threshold,"The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters",Legislature-initiated
62,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.,Legislature-initiated
63,Does this type of referendum exist at the subnational level?,"Whether the instrument has a local or regional version, when the vote also takes place at local level",Legislature-initiated
1,Is there a rejective citizens’ initiative at the national level?,An instrument that allows a certain number of citizens to initiate a referendum (i.e. a popular vote) that is aimed at preventing a constitutional amendment or a legislative act from being passed or at abolishing it,Rejective initiative
2,Is there an explicit legal basis for this type of referendum?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.). In case of rejective citizens' initiatives, this would include a practice when the rules of a proactive initiative can be used to abrogate laws (e.g. formulating a proactive initiative about the annulment of an act).",Rejective initiative
3,What is the total number of signatures required?,The number of voters that have to support the referendum initiative in order for a vote to take place,Rejective initiative
4,Is there a territorial threshold for signature gathering?,"Whether the required number of signatures is also linked to a certain number of territorial units, meaning that the cititzens supporting the initiative must represent a number of territorial units",Rejective initiative
5,What is the time limit for collecting the required number of signatures? (in days),Number of days allowed for completing the signature collection,Rejective initiative
6,Are there any restrictions on where the signatures can be collected?,Are there for example designated venues for the collection of signatures? Is the collection prohibited at certain places? Is the collection restricted to state offices?,Rejective initiative
7,Do signatories have to provide identification documents in addition to personal information when signing the initative?,Whether the voters have to provide identification numbers or passports or something similar.,Rejective initiative
8,Is it possible to gather signatures electronically?,"Whether signatures can be collected online, including all types of electronic signatures",Rejective initiative
9,Are the signatures systematically verified?,Whether the authority counting the signatures check each signature and personal information or only a random check is carried out,Rejective initiative
10,Who checks the signatures?,The authority entrusted with counting and verifying the signatures,Rejective initiative
11,Is there a legal remedy against invalidation of signatures?,"A remedy specifically for cases when the authority invalidates signatures, or refuses to forward the proposal based on the number of signatures",Rejective initiative
12,Is there a formal admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the formal limits (clarity of the question, unity of substance, unity of form, draft legal text etc.).",Rejective initiative
13,Who decides about the formal admissibility?,Which state institution registers the initiative?,Rejective initiative
14,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration",Rejective initiative
15,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure,Rejective initiative
16,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)",Rejective initiative
17,Does the formal admissibility procedure take place before the signature collection?,"Is the initiative registered before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")",Rejective initiative
18,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Rejective initiative
19,Do participants have a right to be heard in the formal admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Rejective initiative
20,Is there an evidentary procedure in the formal admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Rejective initiative
21,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the formal limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Rejective initiative
22,Is invalidity the legal consequence of inadmissibility?,"At the end of the formal admissibility procedure, does the state organ invalidate (i.e. annul) the initiative or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Rejective initiative
23,Is there a substantive admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the substantive limits (not on a prohibited topic, compliance with the constitution etc.).",Rejective initiative
24,Who decides about the substantive admissibility?,Which state institution checks whether the initiative complies with the substantive limits?,Rejective initiative
25,Is there a legal remedy against the decision on substantive admissibility?,"Appeal to a higher administrative, judicial or state organ",Rejective initiative
26,Who decides about the claim for remedy in the substantive admissibility procedure?,Which state institution carries out the appeal procedure,Rejective initiative
27,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the substantive admissibility decision (e.g. only initiators, any citizens, certain state actors etc.)",Rejective initiative
28,Does the substantive admissibility procedure take place before the signature collection?,"Is the substantive admissibility decided before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")",Rejective initiative
29,Is substantive admissibility decided in a special procedure?,"Whether the procedure for checking the substantive admissibility has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the respective state organ. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Rejective initiative
30,Do participants have a right to be heard in the substantive admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Rejective initiative
31,Is there an evidentary procedure in the substantive admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Rejective initiative
32,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the substantive limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Rejective initiative
33,Is invalidity the legal consequence of inadmissibility?,"At the end of the substantive admissibility procedure, does the state organ invalidate (i.e. annul) the initiative or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Rejective initiative
34,Does the proposal have to be submitted as a (draft) legal text?,Do the initiators have to create a draft of the proposed provision or legal act or is it enough to propose a question?,Rejective initiative
35,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the initiative question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)",Rejective initiative
36,Is there a clarity of the question requirement?,"Whether there is a legal provision that the initiative question or issue has to be formulated precisely, in a clear, non-misleading manner",Rejective initiative
37,Is there a unity of form requirement?,Whether there is a legal provision that the initiative question or issue shall not combine a general and a specifically-worded proposal,Rejective initiative
38,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of initiative question or issue shall have an internal connection,Rejective initiative
39,"Are there any other formal limits? If so, describe.",Whether there are any other requirements about the formulation of the initiative question or issue,Rejective initiative
40,(if rejective) Are certain types of legal acts excluded from being the subject of it?,"Whether a referendum could be held on any legal act (including the constitution, legislative acts, administrative decrees, other measure having the force of law) or is it limited to certain types. This question is strictly about the types of legal acts, not the issues that can or cannot be the subject of the referendum",Rejective initiative
41,(if rejective) Are constitutional amendments excluded from being the subject of it?,Whether a referendum could only be held about legal acts that are below the constitution in the hierarchy of norms,Rejective initiative
42,(if rejective) Are the legal provisions challenged before or after their entry into force?,Is the subject of the popular vote the proposal for a provision or a legal act (before entry into force) or the already adopted and promulgated act (after entry into force)?,Rejective initiative
43,Can any kind of issue be the subject of a referendum (not counting explicitly prohibited issues)?,"What is the positive scope of referendums/initiatives: which topics can be the subject of a referendum/initiative? This is a question about how the general scope of referendums is defined, without taking into account the explicit topical restrictions.",Rejective initiative
44,Can only issues of special importance be the subjects of referendums?,Is the positive scope of initiatives limited to questions that are deemed important?,Rejective initiative
45,Can only certain enumerated issues be the subjects of referendums?,"In this case not any question can be the subject of a initiative, only those topics that are listed in the relevant legal act",Rejective initiative
46,Are there any prohibited issues?,"Are there substantive limits on initiatives and referendums, i.e. certain topics that cannot be the subject of a referendum?",Rejective initiative
47,Are referendums on constitutional amendments prohibited?,"This question refers to a general ban on proposing constitutional changes. If only certain constitutional provisions are excluded from referendums, those provisions/topics should be indicated specifically in the next questions.",Rejective initiative
48,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations",Rejective initiative
49,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights,Rejective initiative
50,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc.",Rejective initiative
51,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc.",Rejective initiative
52,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language,Rejective initiative
53,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory,Rejective initiative
54,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Rejective initiative
55,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on initiatives about the organisation and the rules of the internal security of the state,Rejective initiative
56,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Rejective initiative
57,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Rejective initiative
58,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship,Rejective initiative
59,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Rejective initiative
60,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Rejective initiative
61,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel,Rejective initiative
62,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Rejective initiative
63,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Rejective initiative
64,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Rejective initiative
65,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Rejective initiative
66,"Are there any other prohibited issues? If so, describe.","If there are any other prohibited topics, please indicate those in the comments section",Rejective initiative
67,Is it mandatory to call the referendum?,"In case all the requirements are fulfilled (the initiative is supported by the required number of citizens, it complies with the limits) is it mandatory to authorise the referendum or does the institution that calls the referendum has some leeway, some margin of discretion",Rejective initiative
68,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result",Rejective initiative
69,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid,Rejective initiative
70,Approval quorum,Number of voters (percentage) who have to approve the referendum for it to pass,Rejective initiative
71,Territorial approval threshold,"The turnout or the approval quorum is linked to a number of territorial units, so for a referendum to be valid and sucessful a number of territorial units must be represented by the voters",Rejective initiative
72,Who is responsible for certifying/validating the referendum result?,Who establishes the final results of the referendum after the counting of the votes? This question refers to the state body that makes the official decision on the results.,Rejective initiative
73,How many rejective citizens’ initiatives have been launched since 1990?,How many rejective citizens' initiatives have been started since 1990?,Rejective initiative
74,How many rejective citizens’ initiatives have been declared formally or substantively inadmissible since 1990?,How many rejective citizens' initiatives have failed because a state organ found that they were not compatible with the formal or substantive limits?,Rejective initiative
75,Does this type of referendum exist at the subnational level?,"Whether the instrument has a local or regional version, when the vote also takes place at local level",Rejective initiative
1,Is there a proactive citizens’ initiative at the national level?,An instrument that allows a certain number of citizens to initiate a referendum (i.e. a popular vote) and formulate the topic of the referendum,Proactive initiative
2,Is there an explicit legal basis for this type of referendum?,"Whether there is a clear legislative basis for the instrument or it has only evolved in the practice (judicial pratice, etc.).",Proactive initiative
3,What is the total number of signatures required?,The number of voters that have to support the referendum initiative in order for a vote to take place,Proactive initiative
4,Is there a territorial threshold for signature gathering?,"Whether the required number of signatures is also linked to a certain number of territorial units, meaning that the cititzens supporting the initiative must represent a number of territorial units",Proactive initiative
5,What is the time limit for collecting the required number of signatures? (in days),Number of days allowed for completing the signature collection,Proactive initiative
6,Are there any restrictions on where the signatures can be collected?,Are there for example designated venues for the collection of signatures? Is the collection prohibited at certain places? Is the collection restricted to state offices?,Proactive initiative
7,Do signatories have to provide identification documents in addition to personal information when signing the initative?,Whether the voters have to provide identification numbers or passports or something similar.,Proactive initiative
8,Is it possible to gather signatures electronically?,"Whether signatures can be collected online, including all types of electronic signatures",Proactive initiative
9,Are the signatures systematically verified?,Whether the authority counting the signatures check each signature and personal information or only a random check is carried out,Proactive initiative
10,Who checks the signatures?,The authority entrusted with counting and verifying the signatures,Proactive initiative
11,Is there a legal remedy against invalidation of signatures?,"A remedy specifically for cases when the authority invalidates signatures, or refuses to forward the proposal based on the number of signatures",Proactive initiative
12,Is there a formal admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the formal limits (clarity of the question, unity of substance, unity of form, draft legal text etc.).",Proactive initiative
13,Who decides about the formal admissibility?,Which state institution registers the initiative?,Proactive initiative
14,Is there a legal remedy against the decision on formal admissibility?,"Appeal to a higher administrative, judicial or other state organ against the decision on admissibility/registration",Proactive initiative
15,Who decides about the claim for remedy in the formal admissibility procedure?,Which state institution carries out the appeal procedure,Proactive initiative
16,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the formal admissibility decision (e.g. only the initiators, any citizens, certain state actors etc.)",Proactive initiative
17,Does the formal admissibility procedure take place before the signature collection?,"Is the initiative registered before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")",Proactive initiative
18,Is formal admissibility decided in a special procedure?,"Whether the procedure for registration/admission has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the state organ concerned? Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Proactive initiative
19,Do participants have a right to be heard in the formal admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Proactive initiative
20,Is there an evidentary procedure in the formal admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Proactive initiative
21,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against the formal limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Proactive initiative
22,Is invalidity the legal consequence of inadmissibility?,"At the end of the formal admissibility procedure, does the state organ invalidate (i.e. annul) the initiative or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Proactive initiative
23,Is there a substantive admissibility check?,"Whether there is a state institution that checks whether the initiative/referendum question complies with the substantive limits (not on a prohibited topic, compliance with the constitution etc.).",Proactive initiative
24,Who decides about the substantive admissibility?,Which state institution checks whether the initiative complies with the substantive limits?,Proactive initiative
25,Is there a legal remedy against the decision on substantive admissibility?,"Appeal to a higher administrative, judicial or state organ",Proactive initiative
26,Who decides about the claim for remedy in the substantive admissibility procedure?,Which state institution carries out the appeal procedure,Proactive initiative
27,Who can initiate the remedy procedure? (state actor - initiator - anyone),"Who has the right to appeal against the substantive admissibility decision (e.g. only initiators, any citizens, certain state actors etc.)",Proactive initiative
28,Does the substantive admissibility procedure take place before the signature collection?,"Is the substantive admissibility decided before or after the initiators collected the signatures required. (If a small number of signatures is need before the registration, but most signatures are collected after the registration, then the question should be coded as ""before"")",Proactive initiative
29,Is substantive admissibility decided in a special procedure?,"Whether the procedure for checking the substantive admissibility has special rules such as shortened deadlines, restricted participation rights etc. that otherwise do not characterise the decision-making of the respective state organ. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Proactive initiative
30,Do participants have a right to be heard in the substantive admissibility procedure?,"Whether the initiators or other interested parties can appear before the state organ and state their arguments. Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Proactive initiative
31,Is there an evidentary procedure in the substantive admissibility procedure?,"Whether the decision-making body is allowed to gather evidence other than written submissions (e.g. invite parties to testify or order expert opinions). Please provide an answer based on the procedure of the state organ deciding in first-instance, but indicate in the comments if there are significant differences in the remedy procedure.",Proactive initiative
32,Are the legal consequences of the admissibility procedures binding?,"After the state organ assessed the question against substantive limits, does it have the authority to stop the referendum or does it only publish a non-binding opinion",Proactive initiative
33,Is invalidity the legal consequence of inadmissibility?,"At the end of the substantive admissibility procedure, does the state organ invalidate (i.e. annul) the initiative or does it have other powers (e.g. rewriting the question or sending it back for reconsideration)",Proactive initiative
34,Does the proposal have to be submitted as a (draft) legal text?,Do the initiators have to create a draft of the proposed provision or legal act or is it enough to propose a question?,Proactive initiative
35,Are there any formal limits on the wording of the referendum proposal?,"Whether there are legal restrictions on how the initiative question or issue has to be formulated (e.g. it has to be clear, it has to be a single question, etc.)",Proactive initiative
36,Is there a clarity of the question requirement?,"Whether there is a legal provision that the initiative question or issue has to be formulated precisely, in a clear, non-misleading manner",Proactive initiative
37,Is there a unity of form requirement?,Whether there is a legal provision that the initiative question or issue shall not combine a general and a specifically-worded proposal,Proactive initiative
38,Is there a unity of substance requirement?,Whether there is a legal provision that the different parts of initiative question or issue shall have an internal connection,Proactive initiative
39,"Are there any other formal limits? If so, describe.",Whether there are any other requirements about the formulation of the initiative question or issue,Proactive initiative
40,Can any kind of issue be the subject of a referendum (not counting explicitly prohibited issues)?,"What is the positive scope of referendums/initiatives: which topics can be the subject of a referendum/initiative? This is a question about how the general scope of referendums is defined, without taking into account the explicit topical restrictions.",Proactive initiative
41,Can only issues of special importance be the subjects of referendums?,Is the positive scope of initiatives limited to questions that are deemed important?,Proactive initiative
42,Can only certain enumerated issues be the subjects of referendums?,"In this case not any question can be the subject of a initiative, only those topics that are listed in the relevant legal act",Proactive initiative
43,Are there any prohibited issues?,"Are there substantive limits on initiatives and referendums, i.e. certain topics that cannot be the subject of a referendum?",Proactive initiative
44,Are referendums on constitutional amendments prohibited?,"This question refers to a general ban on proposing constitutional changes. If only certain constitutional provisions are excluded from referendums, those provisions/topics should be indicated specifically in the next questions.",Proactive initiative
45,Are referendums related to international law obligations prohibited?,"This question refers to the signing or ratification of international treaties, association with other states and participation in international organisations",Proactive initiative
46,Are referendums related to fundamental rights and freedoms prohibited?,Including both the restriction and the expansion of fundamental rights,Proactive initiative
47,Are referendums on state structure or form of government prohibited?,"This question refers to a ban on changing such fundamental features of the constitutional system as for example parliamentary democracy, separation of powers, etc.",Proactive initiative
48,Are referendums on state symbols prohibited?,"Including state flag, national anthem, etc.",Proactive initiative
49,Are referendums on the official language prohibited?,This question refers to a ban on changing the official language,Proactive initiative
50,Are referendums on territorial issues or territorial integrity prohibited?,Including any question about state territory,Proactive initiative
51,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",This question refers to a limit on proposing changes in either the revenue or the expenditure side of the state finances or on anything else related to state finances.,Proactive initiative
52,"Are referendums issues related to national security (military, police, secret services) prohibited?",This question refers to a ban on initiatives about the organisation and the rules of the internal security of the state,Proactive initiative
53,"Are referendums on emergency powers (declaration of war, state of emergency, etc) and urgent matters prohibited?",This includes a ban on war powers and also state emergency measures,Proactive initiative
54,Are referendums on pardon and amnesty prohibited?,This question refers to individual and mass measures of setting prisoners free,Proactive initiative
55,Are referendums on naturalisation issues prohibited?,This question refers to questions about citizenship,Proactive initiative
56,Are referendums on minorities or minority rights prohibited?,This questions refers to a ban on changing the status or rights of minorities in the country,Proactive initiative
57,Are referendums on the rules of elections and referendums prohibited?,This questions refers to a ban on changing legal provisions of elections and referendums by a referendum,Proactive initiative
58,Are referendums on the election or appointment of state officials or civil service laws prohibited?,This questions refers to a ban on having a referendum about single appointments or laws on state personnel,Proactive initiative
59,Are referendums on legislative competences prohibited?,This question refers to a ban on changing the scope of legislative competences,Proactive initiative
60,Are referendums on executive competences prohibited?,This question refers to a ban on changing the scope of executive competences,Proactive initiative
61,"Are referendums on issues related to the judiciary (competences, independence, etc) prohibited?",This question refers to a ban on changing the scope of judicial competences or any other issue that may change the status or independence of the judiciary,Proactive initiative
62,Are referendums on issues related to local governance prohibited?,"This question refers to a ban on changing the status, the composition or the competences of local governments",Proactive initiative
63,"Are there any other prohibited issues? If so, describe.","If there are any other prohibited topics, please indicate those in the comments section",Proactive initiative
64,Is it mandatory to call the referendum?,"In case all the requirements are fulfilled (the initiative is supported by the required number of citizens, it complies with the limits) is it mandatory to authorise the referendum or does the institution that calls the referendum has some leeway, some margin of discretion",Proactive initiative
65,Is the referendum result binding?,"Whether the successful referendum leads to an automatic change of the law or forces the legislature to adopt a law, or is it only advisory and the legislature decides if it wants to give effect to the referendum result",Proactive initiative
66,Turnout quorum,Number (percentage) of participants in the popular vote required for the vote to be valid,Proactive initiative
