Country,ID,Instrument,insID,idOrder,Type,Question,Answer,Sources,Comment,instrumentDF,filterCountry
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_23,34,Substantive procedure,Is invalidity the legal consequence of substantive inadmissibility?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_24,35,Formal limit,Does the proposal have to be submitted as a (draft) legal text?,No,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_25,36,Formal limit,Are there any formal limits on the wording of the referendum proposal?,No,NA,"It is presumed that the wording has to be clear similarly to citizens' initiatives, but the Law on referendums does not explicitly prescribe this for the executive-initiated referendum.",Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_26,37,Formal limit,Is there a clarity of the question requirement?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_27,38,Formal limit,Is there a unity of form requirement?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_28,39,Formal limit,Is there a unity of substance requirement?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_29,40,Formal limit,"Are there any other formal limits? If Yes, describe in comments.",NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_30,41,Substantive limit,Are certain type of legal acts excluded from being the subject of it?,No,Art 87 (2) of the Constitution,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_31,42,Substantive limit,Are constitutional amendments excluded from being the subject of it?,No,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_32,43,Substantive limit,Are the legal provisions challenged before or after their entry into force?,Before,Art 87 (2) of the Constitution,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_33,44,Substantive limit,Can only issues of special importance be the subject of referendums?,Yes,Art 87 (2) of the Constitution,The executive-initiated referendum can only be used for constitutional changes and other issues related to independence and sovereignty of the State.,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_34,45,Substantive limit,Can only certain enumerated issues be the subject of referendums?,Yes,Art 87 (2) of the Constitution,The executive-initiated referendum can only be used for constitutional changes and other issues related to independence and sovereignty of the State.,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_35,46,Substantive limit,Are there any prohibited issues?,No,NA,"The constitutional and legal provisions do not prohibit issues that can be put to vote by the executive-initiated referendum, but they prescribe issues that can be the subject of this type of referendum, although these are very general.",Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_36,47,Substantive limit,Are referendums on constitutional amendments prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_37,48,Substantive limit,Are referendums related to international law obligations prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_38,49,Substantive limit,Are referendums related to fundamental rights and freedoms prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_39,50,Substantive limit,Are referendums on state structure or form of government prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_40,51,Substantive limit,Are referendums on state symbols prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_41,52,Substantive limit,Are referendums on the official language prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_42,53,Substantive limit,Are referendums on territorial issues or territorial integrity prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_43,54,Substantive limit,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_44,55,Substantive limit,"Are referendums on issues related to national security (military, police, secret services) prohibited?",NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_45,56,Substantive limit,"Are referendums on emergency powers (declaration of war, state of emergency etc) or urgent matters prohibited?",NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_46,57,Substantive limit,Are referendums on pardon and amnesty prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_47,58,Substantive limit,Are referendums on naturalisation issues prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_48,59,Substantive limit,Are referendums on minorities or minority rights prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_49,60,Substantive limit,Are referendums on the rules of elections and referendums prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_50,61,Substantive limit,Are referendums on the election or appointment of state officials or civil service laws prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_51,62,Substantive limit,Are referendums on legislative competences prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_52,63,Substantive limit,Are referendums on executive competences prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_53,64,Substantive limit,"Are referendums on issues related to the judiciary (competences, independence etc) prohibited?",NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_54,65,Substantive limit,Are referendums on issues related to local governance prohibited?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_55,66,Substantive limit,Are there any other prohibited issues?,NA,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_56,67,Referendum related,Is it mandatory to call the referendum?,No,Art 87 (2) of the Constitution,It is at the discretion of the President if she/he will call the referendum.,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_57,68,Referendum related,Is the referendum result binding?,Yes,Art 87 (2) of the Constitution,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_58,69,Referendum related,Turnout quorum,Yes,"Art 6 of the Law on referendum and other citizen initiatives at nationa, regional and local level",Majority of registered voters,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_59,70,Referendum related,Approval quorum,Simple majority,"Art 6 of the Law on referendum and other citizen initiatives at national, regional and local level",NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_60,71,Referendum related,Territorial approval threshold,No,NA,NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_61,72,Referendum related,Who is responsible for certifying/validating the referendum result?,Election commission,"Art. 43 and 44 of the  Law on referendum and other citizen initiatives at national, regional and local level",NA,Executive_initiated,Yes
Croatia,Croatia_Executive-initiated,Executive-initiated,Executive_62,89,Subnational related,Does this type of instrument exist at the subnational level?,Yes,"Art. 4 of the Law on referendum and other citizen initiatives at national, regional and local level",NA,Executive_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_1,1,General,Is the instrument available at national level?,Yes,Art 135 of the Constitution; Art 3 of the Law on referendum,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_34,36,Formal limit,Are there any formal limits on the wording of the referendum proposal?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_35,37,Formal limit,Is there a clarity of the question requirement?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_36,38,Formal limit,Is there a unity of form requirement?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_37,39,Formal limit,Is there a unity of substance requirement?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_38,40,Formal limit,"Are there any other formal limits? If Yes, describe in comments.",NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_14,46,Substantive limit,Are there any prohibited issues?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_15,48,Substantive limit,Are referendums related to international law obligations prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_16,49,Substantive limit,Are referendums related to fundamental rights and freedoms prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_17,50,Substantive limit,Are referendums on state structure or form of government prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_18,51,Substantive limit,Are referendums on state symbols prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_19,52,Substantive limit,Are referendums on the official language prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_20,53,Substantive limit,Are referendums on territorial issues or territorial integrity prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_21,54,Substantive limit,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_22,55,Substantive limit,"Are referendums on issues related to national security (military, police, secret services) prohibited?",NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_23,56,Substantive limit,"Are referendums on emergency powers (declaration of war, state of emergency etc) or urgent matters prohibited?",NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_24,57,Substantive limit,Are referendums on pardon and amnesty prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_25,58,Substantive limit,Are referendums on naturalisation issues prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_26,59,Substantive limit,Are referendums on minorities or minority rights prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_27,60,Substantive limit,Are referendums on the rules of elections and referendums prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_28,61,Substantive limit,Are referendums on the election or appointment of state officials or civil service laws prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_29,62,Substantive limit,Are referendums on legislative competences prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_30,63,Substantive limit,Are referendums on executive competences prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_31,64,Substantive limit,"Are referendums on issues related to the judiciary (competences, independence etc) prohibited?",NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_32,65,Substantive limit,Are referendums on issues related to local governance prohibited?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_33,66,Substantive limit,Are there any other prohibited issues?,NA,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_39,68,Referendum related,Is the referendum result binding?,Yes,Art. 87 of the Constitution,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_40,69,Referendum related,Turnout quorum,No,NA,Majority of registered voters,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_41,70,Referendum related,Approval quorum,Simple majority,Art 135 of the Constitution,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_42,71,Referendum related,Territorial approval threshold,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_43,72,Referendum related,Who is responsible for certifying/validating the referendum result?,Election commission,"Art. 43 and 44 of the  Law on referendum and other citizen initiatives at national, regional and local level",NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_2,75,Law related,Does any constitutional amendment trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_3,76,Law related,Do certain constitutional amendments trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_4,77,Law related,Does the total revision of the constitution trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_5,78,Law related,Do territorial changes trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_6,79,Law related,Does the ratification of any international treaty trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_7,80,Law related,Does the ratification of certain international treaties trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_8,81,Law related,Does the association with any other state or international organisation trigger a referendum?,Yes,Art 135 of the Constitution; Art 3 of the Law on referendum(...),NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_9,82,Law related,Does the association with certain states or international organisations trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_10,83,Law related,Are there any other issues or events that trigger a referendum?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_11,84,Law related,Are there any exceptions when a referendum is not required to take place even though the triggering event or issue exists?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_12,85,Law related,Are there any procedures for reviewing the triggering issue or event?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_13,86,Law related,Are there any unamendable constitutional provisions that limit referendums?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Law-initiated,Law-initiated,Law_44,89,Subnational related,Does this type of instrument exist at the subnational level?,No,NA,NA,Law_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_1,1,General,Is the instrument available at national level?,Yes,Article 87 (1) of the Constitution,"The Croatian Parliament may call a referendum on a proposal for the amendment of the Constitution, on a bill, or any other issue within its competence.",Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_2,2,General,Is there an explicit legal basis for this type of referendum?,Yes,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_3,3,General,"Under what conditions can the instrument be initiated (number of ministers, whole government, President etc.)?",Majority,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_4,13,Formal procedure,Is there a formal admissibility check?,No,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_5,14,Formal procedure,Who decides about the formal admissibility?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_6,15,Formal procedure,Is there a legal remedy against the decision on formal admissibility?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_7,16,Formal procedure,Who decides about the claim for remedy in the formal admissibility procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_8,17,Formal procedure,Who can initiate the formal remedy procedure (state actor - initiator - anyone)?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_9,19,Formal procedure,Is formal admissibility decided in a special procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_10,20,Formal procedure,Do participants have a right to be heard in the formal admissibility procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_11,21,Formal procedure,Is there an evidentiary procedure in the formal admissibility procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_12,22,Formal procedure,Are the legal consequences of the formal admissibility procedures binding?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_13,23,Formal procedure,Is invalidity the legal consequence of formal inadmissibility?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_14,24,Substantive procedure,Is there a substantive admissibility check?,No,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_15,25,Substantive procedure,Who decides about the substantive admissibility?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_16,26,Substantive procedure,Is there a legal remedy against the decision on substantive admissibility?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_17,27,Substantive procedure,Who decides about the claim for remedy in the substantive admissibility procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_18,28,Substantive procedure,Who can initiate the substantive remedy procedure (state actor - initiator - anyone)?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_19,30,Substantive procedure,Is substantive admissibility decided in a special procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_20,31,Substantive procedure,Do participants have a right to be heard in the substantive admissibility procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_21,32,Substantive procedure,Is there an evidentiary procedure in the substantive admissibility procedure?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_22,33,Substantive procedure,Are the legal consequences of the substantive admissibility procedure binding?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_23,34,Substantive procedure,Is invalidity the legal consequence of substantive inadmissibility?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_24,35,Formal limit,Does the proposal have to be submitted as a (draft) legal text?,No,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_25,36,Formal limit,Are there any formal limits on the wording of the referendum proposal?,No,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_26,37,Formal limit,Is there a clarity of the question requirement?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_27,38,Formal limit,Is there a unity of form requirement?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_28,39,Formal limit,Is there a unity of substance requirement?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_29,40,Formal limit,"Are there any other formal limits? If Yes, describe in comments.",NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_30,41,Substantive limit,Are certain type of legal acts excluded from being the subject of it?,No,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_31,42,Substantive limit,Are constitutional amendments excluded from being the subject of it?,No,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_32,43,Substantive limit,Are the legal provisions challenged before or after their entry into force?,Before,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_33,44,Substantive limit,Can only issues of special importance be the subject of referendums?,No,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_34,45,Substantive limit,Can only certain enumerated issues be the subject of referendums?,No,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_35,46,Substantive limit,Are there any prohibited issues?,No,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_36,47,Substantive limit,Are referendums on constitutional amendments prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_37,48,Substantive limit,Are referendums related to international law obligations prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_38,49,Substantive limit,Are referendums related to fundamental rights and freedoms prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_39,50,Substantive limit,Are referendums on state structure or form of government prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_40,51,Substantive limit,Are referendums on state symbols prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_41,52,Substantive limit,Are referendums on the official language prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_42,53,Substantive limit,Are referendums on territorial issues or territorial integrity prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_43,54,Substantive limit,"Are referendums on state finances (budget, taxes, or other financial obligations) prohibited?",NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_44,55,Substantive limit,"Are referendums on issues related to national security (military, police, secret services) prohibited?",NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_45,56,Substantive limit,"Are referendums on emergency powers (declaration of war, state of emergency etc) or urgent matters prohibited?",NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_46,57,Substantive limit,Are referendums on pardon and amnesty prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_47,58,Substantive limit,Are referendums on naturalisation issues prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_48,59,Substantive limit,Are referendums on minorities or minority rights prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_49,60,Substantive limit,Are referendums on the rules of elections and referendums prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_50,61,Substantive limit,Are referendums on the election or appointment of state officials or civil service laws prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_51,62,Substantive limit,Are referendums on legislative competences prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_52,63,Substantive limit,Are referendums on executive competences prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_53,64,Substantive limit,"Are referendums on issues related to the judiciary (competences, independence etc) prohibited?",NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_54,65,Substantive limit,Are referendums on issues related to local governance prohibited?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_55,66,Substantive limit,Are there any other prohibited issues?,NA,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_56,67,Referendum related,Is it mandatory to call the referendum?,No,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_57,68,Referendum related,Is the referendum result binding?,Yes,article 87 (1) of the Constitution,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_58,69,Referendum related,Turnout quorum,Yes,"Art 6 of the Law on referendum and other citizen initiatives at nationa, regional and local level",Majority of registered voters,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_59,70,Referendum related,Approval quorum,Simple majority,"Art 6 of the Law on referendum and other citizen initiatives at nationa, regional and local level",NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_60,71,Referendum related,Territorial approval threshold,No,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_61,72,Referendum related,Who is responsible for certifying/validating the referendum result?,Election commission,NA,NA,Legislature_initiated,Yes
Croatia,Croatia_Legislature-initiated,Legislature-initiated,Legislative_62,89,Subnational related,Does this type of instrument exist at the subnational level?,Yes,"Art 4 of the Law on referendum and other citizen initiatives at nationa, regional and local level",NA,Legislature_initiated,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_1,1,General,Is the instrument available at national level?,Yes,"Art. 87 (3) of the Constitution; Art.3 (4) of the Law on referendum and other citizen initiative at national, regional and local level",NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_2,2,General,Is there an explicit legal basis for this type of referendum?,Yes,"Art. 87 (3) of the Constitution; Art.3 (4) of the Law on referendum and other citizen initiative at national, regional and local level",NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_3,4,Signature related,What is the total number of signatures required?,10,"Art. 87 (3) of the Constitution; Art.3 (4) of the Law on referendum and other citizen initiative at national, regional and local level",10% of registered voters,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_4,5,Signature related,Is there a territorial threshold for signature gathering?,No,NA,NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_5,6,Signature related,What is the time limit for collecting the required number of signatures (in days)?,15,"Art. 8b Par. 2. point. 2 of the Law on referendum and other initiatives at national, regional and local level",NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_6,7,Signature related,Are there any restrictions on where the signatures can be collected?,Yes,"Art. 8c and 8b od the Law on referendum and other citizen initiatives at national, regional and local level",The decision about the locations of signature collection is delegated to local governments and these all have different practices and rules.,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_7,8,Signature related,Do signatories have to provide identification documents in addition to personal information when signing the initiative?,No,NA,NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_8,9,Signature related,Is it possible to gather signatures electronically?,No,NA,NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_9,10,Signature related,Are the signatures systematically verified?,No,NA,NA,Proactive_initiative,Yes
Croatia,Croatia_Proactive initiative,Proactive initiative,Proactive_10,11,Signature related,Who checks the signatures?,Government,"Art. 8g of the Law on Referendum and other type of citizen initiatives at state, regional and local level",The Law on Referendum stipulates that the initiators shall deliver the signatures to the Parliament. Nevertheless the Parliament developed a recent practice where the signatures are sent to government bodies (Ministry of Administration) to be checked for the validity and the total number of signatures.,Proactive_initiative,Yes
